Year,State,Value
2017,CALIFORNIA,"702,222"
2017,COLORADO, (D)
2017,COLORADO,"3,226"
2017,COLORADO, (D)
2017,COLORADO,"9,312"
2017,COLORADO,"4,002"
2017,COLORADO,"1,812"
2017,COLORADO, (D)
2017,COLORADO,"12,829"
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO,"21,318"
2017,COLORADO,"1,940"
2017,COLORADO,"21,781"
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO,"74,148"
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO,201
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO,360
2017,COLORADO,"35,252"
2017,COLORADO,232
2017,COLORADO,630
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO,646
2017,COLORADO,"5,036"
2017,COLORADO,"1,439"
2017,COLORADO,143
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO, (D)
2017,COLORADO,"122,440"
2017,COLORADO, (D)
2017,COLORADO,"10,738"
2017,COLORADO,825
2017,COLORADO,"27,830"
2017,COLORADO, (D)
2017,CONNECTICUT,"11,368"
2017,CONNECTICUT,"26,500"
2017,CONNECTICUT,"42,706"
2017,CONNECTICUT,"6,208"
2017,CONNECTICUT,"38,743"
2017,CONNECTICUT,"56,486"
2017,CONNECTICUT,"3,096"
2017,CONNECTICUT,"14,524"
2017,DELAWARE,824
2017,DELAWARE,"2,051"
2017,DELAWARE,"1,484"
2017,FLORIDA,"578,136"
2017,FLORIDA,"130,626"
2017,FLORIDA, (D)
2017,FLORIDA,"7,857"
2017,FLORIDA, (D)
2017,FLORIDA,"8,014"
2017,FLORIDA,"5,806"
2017,FLORIDA,"108,709"
2017,FLORIDA,"581,888"
2017,FLORIDA,"56,842"
2017,FLORIDA,"124,392"
2017,FLORIDA,"73,023"
2017,FLORIDA,"22,510"
2017,FLORIDA,"31,415"
2017,FLORIDA,"25,851"
2017,FLORIDA,"647,548"
2017,FLORIDA, (D)
2017,FLORIDA,"9,017"
2017,FLORIDA, (D)
2017,FLORIDA,"2,980"
2017,FLORIDA,"22,831"
2017,FLORIDA,"146,208"
2017,FLORIDA,"130,624"
2017,FLORIDA,"126,915"
2017,FLORIDA,"7,590"
2017,FLORIDA,"28,888"
2017,FLORIDA, (D)
2017,FLORIDA, (D)
2017,FLORIDA, (D)
2017,FLORIDA,"3,718"
2017,FLORIDA,"44,233"
2017,FLORIDA,"2,688"
2017,FLORIDA,"44,932"
2017,FLORIDA,"26,729"
2017,FLORIDA,"51,338"
2017,FLORIDA,"87,400"
